orig,pert
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,Mr. Jortikka is President of the base metals division of Outotec Oyj in Finland and a member of Outotec&#39;s Executive Committee.
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .","Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 ."
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,Suomi automation solution developer Cencorp corp ( OMX Helsinki : CNC1V ) issue on Th ( XVIII September ) a profit warning for the one-third quarter of 2008 .
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,Finnish automation solutions developer Cencorp Corporation ( OMSnap Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .
"Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE .","Renzo Piano 's building design will be a wonderful addition to London 's skyline , '' says Noud Veeger , EVP and Area Director for Central and North Europe at KONE ."
`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .,`` We are proud to contribute to the creation of a foremost airport installation with KONE 's modern People flowing TM solution .
`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .,“We are proud to contribute to the creation of world-class airport facilities with KONE’s innovative People Flow TM solutions.
`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .,`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',`` operate net profit declined mainly due to the increase cost of wood and recycle fibre and the strengthened euro . ''
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . ''
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",$12.5 million of that will be recorded as part of its victory in a previous patent dispute with Finnish handset maker Nokia Oyj.
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .","A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj ."
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,The objective of the St. Petersburg office is first to boost the Company 's maintenance business .
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .","AGJ recorded EUR forty-three mln sales in 2006 , most of which was generate by exportation to customer in horse opera Europe , the statement tell ."
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .","AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said ."
